Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium
25	0.828	0.0	0.096	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.802	0.0	0.198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.799	0.0	0.14800000000000002	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7509999999999999	0.0	0.249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.746	0.0	0.22399999999999998	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7490000000000001	0.0	0.198	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7020000000000001	0.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6990000000000001	0.0	0.27399999999999997	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6990000000000001	0.0	0.247	0.0	0.0	0.054000000000000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.652	0.0	0.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.647	0.0	0.325	0.0	0.0	0.027999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.649	0.0	0.293	0.0	0.0	0.057999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7390000000000001	0.0	0.075	0.0	0.0	0.18600000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.748	0.0	0.049	0.0	0.0	0.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.738	0.0	0.027999999999999997	0.0	0.0	0.23399999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.74	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7190000000000001	0.0	0.094	0.0	0.0	0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6859999999999999	0.0	0.175	0.0	0.0	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6890000000000001	0.0	0.151	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.698	0.0	0.126	0.0	0.0	0.17600000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.688	0.0	0.102	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.643	0.0	0.16699999999999998	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.626	0.0	0.161	0.0	0.0	0.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.05	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.8	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
25	0.75	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.225	0.0
25	0.6	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0
25	0.32	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0
25	0.38	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0
25	0.7	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
25	0.7	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.0
25	0.75	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0
25	0.7	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
25	0.6	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
25	0.85	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0
25	0.7	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
25	0.735	0.0	0.0	0.015	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.015	0.0	0.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.741	0.0	0.0	0.0	0.0	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.748	0.0	0.0	0.0	0.0	0.19399999999999998	0.057999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.746	0.0	0.0	0.0	0.0	0.155	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7440000000000001	0.0	0.0	0.0	0.0	0.106	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7440000000000001	0.0	0.0	0.0	0.0	0.055999999999999994	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
25	0.7020000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.298
25	0.711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.289
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.2305	0.0195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.2101	0.039900000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.1912	0.0588	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.1702	0.07980000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.15	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.1309	0.1191	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.23980999999999997	0.0	0.0	0.0	0.010190000000000001	0.0	0.0	0.0	0.0
