Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
1000	0.6092	0.1293	0.1257	0.0237	0.0539	0.0479	0.0	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.637528		$\gamma$
1100	0.6294	0.1131	0.106	0.0213	0.0519	0.0658	0.0	0.0	0.0126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.644086		$\gamma$
25	0.5858	0.1473	0.15869999999999998	0.0	0.047400000000000005	0.0328	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	3.582531		$\gamma$
300	0.5858	0.1473	0.15869999999999998	0.0	0.047400000000000005	0.0328	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	3.594563		$\gamma$
500	0.5858	0.1473	0.15869999999999998	0.0	0.047400000000000005	0.0328	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	3.602294		$\gamma$
600	0.5858	0.1473	0.15869999999999998	0.0	0.047400000000000005	0.0328	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	3.606952		$\gamma$
700	0.5858	0.1473	0.15869999999999998	0.0	0.047400000000000005	0.0328	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	3.611648		$\gamma$
800	0.5858	0.1473	0.15869999999999998	0.0	0.047400000000000005	0.0328	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	3.61761		$\gamma$
900	0.5995	0.1371	0.1481	0.0	0.0471	0.0401	0.0	0.0	0.0083	0.0	0.0197	0.0	0.0	0.0	0.0	0.0	3.624298000000001		$\gamma$
1000	0.6259	0.1182	0.1247	0.0	0.045700000000000005	0.057999999999999996	0.0	0.0	0.0103	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	3.632928		$\gamma$
1100	0.6423000000000001	0.1036	0.1042	0.0	0.0435	0.0789	0.0	0.0	0.0129	0.0	0.0145	0.0	0.0	0.0	0.0	0.0	3.641184		$\gamma$
25	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5922080000000003		$\gamma$
300	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.603141		$\gamma$
500	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.611706		$\gamma$
600	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.616453		$\gamma$
700	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621355		$\gamma$
800	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.627269		$\gamma$
900	0.6397999999999999	0.0	0.24850000000000005	0.0635	0.0	0.0361	0.0064	0.004699999999999999	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.640297		$\gamma$
1000	0.6622	0.0	0.2092	0.0573	0.0	0.0524	0.0111	0.0067	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.642686		$\gamma$
25	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5851660000000005		$\gamma$
300	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.596972		$\gamma$
500	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.605702		$\gamma$
